Season,Match,Y/M/D,Pool,Phase,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Player No,Player Name,C,Position,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,ALL,1,Bagunas ,C,OH,23,20,1,2,-,26.42,20,4,13,37,43.24,1,2,3,6,-16.67,2,3,5,10,-10,2,1,20,23,4.35,2,1,4,25,0,0,2,2,0
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,ALL,2,Ybanez ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,8,1,15,24,29.17,6,1,9,55.56,0,0,7,7,0
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,ALL,3,Retamar ,-,S,2,0,1,1,-,-22.22,0,1,0,1,-100,1,5,3,9,-44.44,1,0,7,8,12.5,0,0,0,0,-,1,1,4,0,26,0,47,73,35.62
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,ALL,4,Lorenzo ,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,1,0,1,100,0,0,1,1,0
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,ALL,7,Malabunga ,-,MB,2,2,0,0,-,50,2,0,0,2,100,0,0,0,0,-,0,0,2,2,0,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,ALL,13,Kalingking ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,ALL,15,Espejo ,-,OH,9,8,0,1,-,17.86,8,2,9,19,31.58,0,1,0,1,-100,1,1,6,8,0,6,0,12,18,33.33,4,3,9,11.11,0,0,1,1,0
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,ALL,16,Taguibolos ,-,MB,4,3,1,0,-,-25,3,0,2,5,60,1,7,1,9,-66.67,0,2,4,6,-33.33,0,0,0,0,-,1,0,3,33.33,0,0,0,0,-
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,ALL,17,Ordiales ,-,O,2,2,0,0,-,-42.86,2,9,1,12,-58.33,0,1,0,1,-100,0,1,7,8,-12.5,0,0,1,1,0,4,0,5,80,0,1,1,2,-50
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13 ,17 ,23 ,-,-,25 ,25 ,25 ,-,-,ALL,19,Adajar ,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
