Season,Match,Y/M/D,Pool,Phase,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Player No,Player Name,C,Position,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,ALL,1,Kneiflova ,-,MB,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,-,0,0,2,2,0,0,0,0,0,-,1,2,3,-33.33,0,0,0,0,-
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,ALL,4,Pavlova ,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,ALL,5,Svobodova ,-,OH,4,3,1,0,-,-3.33,3,4,12,19,-5.26,1,1,5,7,0,0,0,4,4,0,1,0,0,1,100,3,1,6,33.33,0,0,0,0,-
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,ALL,6,Grozer ,-,OH,14,12,2,0,-,4.17,12,6,26,44,13.64,2,3,5,10,-10,0,2,16,18,-11.11,4,0,18,22,18.18,9,2,12,58.33,1,0,6,7,14.29
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,ALL,7,Bukovska ,-,OH,6,5,1,0,-,11.11,5,2,5,12,25,1,1,1,3,0,0,1,2,3,-33.33,3,0,7,10,30,2,1,6,16.67,0,0,1,1,0
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,ALL,8,Koulisiani ,-,MB,4,2,1,1,-,-17.95,2,1,10,13,7.69,1,6,6,13,-38.46,1,4,8,13,-23.08,0,0,1,1,0,6,0,9,66.67,0,0,1,1,0
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,ALL,9,Digrinova ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,13,2,17,32,34.38,20,5,35,42.86,0,0,11,11,0
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,ALL,10,Valkova ,-,S,4,2,1,1,-,0,2,0,3,5,40,1,4,3,8,-37.5,1,0,20,21,4.76,0,0,0,0,-,7,1,12,50,49,3,86,138,33.33
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,ALL,11,Dostalova ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,ALL,15,Jehlarova ,-,MB,12,10,2,0,-,7.14,10,2,10,22,36.36,2,6,6,14,-28.57,0,1,5,6,-16.67,0,1,1,2,-50,5,0,7,71.43,0,0,1,1,0
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,ALL,16,Mlejnkova,C,OH,7,6,1,0,-,-2.44,6,4,10,20,10,1,2,5,8,-12.5,0,2,11,13,-15.38,5,0,11,16,31.25,9,1,12,66.67,0,0,1,1,0
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,ALL,17,Dite ,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,ALL,20,Grabovska ,-,S,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,-,0,0,1,1,0,0,0,0,0,-,0,1,3,-33.33,7,0,3,10,70
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,ALL,25,Brancuska ,-,O,17,16,0,1,-,20.37,16,3,18,37,35.14,0,3,5,8,-37.5,1,0,8,9,11.11,0,0,0,0,-,9,2,14,50,1,0,1,2,50
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,1,1,Kneiflova ,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
