Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Service points won,Service,Receiver points won,Receiver,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,ALL,35,90,54,93,68,56,9,3,,56,22,94,172,9,26,36,71,3,10,77,90,26,3,55,84,71,16,119,58,3,111,172
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,1,14,24,11,19,21,15,5,1,,15,6,13,34,5,5,8,18,1,1,23,25,4,1,11,16,18,3,24,11,0,21,32
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,2,7,24,16,24,15,15,0,0,,15,4,21,40,0,5,7,12,0,4,19,23,8,1,14,23,12,4,22,14,1,25,40
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,3,3,17,14,25,14,12,2,0,,12,6,28,46,2,9,8,19,0,1,17,18,8,1,14,23,16,6,34,15,1,30,46
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Czechia,Argentina,1,3,25,23,17,24,-,18,25,25,26,-,4,11,25,13,25,18,14,2,2,,14,6,32,52,2,7,13,22,2,4,18,24,6,0,16,22,25,3,39,18,1,35,54
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Argentina,Czechia,3,1,18,25,25,26,-,25,23,17,24,-,ALL,39,93,55,90,66,53,10,3,,53,21,87,161,10,19,42,71,3,9,81,93,17,3,60,80,67,19,117,36,0,130,166
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Argentina,Czechia,3,1,18,25,25,26,-,25,23,17,24,-,1,8,19,10,24,11,9,1,1,,9,7,20,36,1,6,6,13,1,2,15,18,5,1,18,24,10,5,20,4,0,34,38
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Argentina,Czechia,3,1,18,25,25,26,-,25,23,17,24,-,2,8,24,17,24,18,15,2,1,,15,6,15,36,2,2,10,14,1,2,22,25,4,0,15,19,15,8,31,7,0,31,38
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Argentina,Czechia,3,1,18,25,25,26,-,25,23,17,24,-,3,11,25,14,17,20,16,3,1,,16,4,22,42,3,5,13,21,1,1,22,24,3,0,14,17,20,2,30,17,0,26,43
2025,1,2025/8/22,D,Preliminary,Nakhon Ratchasima,Thailand,Argentina,Czechia,3,1,18,25,25,26,-,25,23,17,24,-,4,12,25,14,25,17,13,4,0,,13,4,30,47,4,6,13,23,0,4,22,26,5,2,13,20,22,4,36,8,0,39,47
