Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Service points won,Service,Receiver points won,Receiver,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13,17,23,-,-,25,25,25,-,-,ALL,12 ,55,41,73,44,36,3,5,-,36,19,30,85,3,19,11,33,5,9,42,56,16,2,48,66,20,7,38,26,1,64,91
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13,17,23,-,-,25,25,25,-,-,1,2 ,14,11,24,9,9,0,0,-,9,9,14,32,0,4,4,8,0,3,11,14,7,1,12,20,12,4,20,11,0,22,33
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13,17,23,-,-,25,25,25,-,-,2,3 ,17,14,25,14,10,3,1,-,10,5,11,26,3,8,2,13,1,4,12,17,5,1,18,24,1,0,7,9,0,20,29
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Philippines,Tunisia,0,3,13,17,23,-,-,25,25,25,-,-,3,7 ,24,16,24,21,17,0,4,-,17,5,5,27,0,7,5,12,4,2,19,25,4,0,18,22,7,3,11,6,1,22,29
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Tunisia,Philippines,3,0,25,25,25,-,-,13,17,23,-,-,ALL,32 ,73,43,55,56,44,10,2,-,44,4,28,76,10,19,13,42,2,7,64,73,10,5,32,47,28,8,48,31,0,45,76
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Tunisia,Philippines,3,0,25,25,25,-,-,13,17,23,-,-,1,13 ,24,12,14,17,12,4,1,-,12,0,13,25,4,4,6,14,1,4,19,24,3,0,8,11,12,2,19,11,0,15,26
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Tunisia,Philippines,3,0,25,25,25,-,-,13,17,23,-,-,2,11 ,25,14,17,19,15,3,1,-,15,4,4,23,3,6,4,13,1,1,23,25,3,1,9,13,9,4,17,10,0,13,23
2025,1,2025/9/12,A,Preliminary ,Pasay City,Philippines,Tunisia,Philippines,3,0,25,25,25,-,-,13,17,23,-,-,3,8 ,24,17,24,20,17,3,0,-,17,0,11,28,3,9,3,15,0,2,22,24,4,4,15,23,7,2,12,10,0,17,27
2025,2,2025/9/13,D,Preliminary ,Pasay City,Philippines,USA,Colombia,3,0,25,25,25,-,-,20,21,14,-,-,ALL,33 ,74,42,56,54,40,6,8,-,40,8,31,79,6,12,16,34,8,12,53,73,11,3,32,46,29,6,48,25,1,56,82
2025,2,2025/9/13,D,Preliminary ,Pasay City,Philippines,USA,Colombia,3,0,25,25,25,-,-,20,21,14,-,-,1,10 ,25,15,20,17,14,2,1,-,14,2,7,23,2,5,3,10,1,5,18,24,4,1,12,17,6,2,13,10,1,15,26
